id_incidencia,id_incidencia_nuevo,nom_tipo_incidencia,fh_inicio,fh_final,descripcion,tramo,utm_x,utm_y,longitud,latitud,es_recurrente,recurrencia
21226,mad-21226,obras,2020-06-01T09:30:00.0000000,2020-06-05T18:00:00.0000000,Calle Pinos Baja desde la calle Ladera hasta la calle Arroyo. Motivo: obras del Canal de Isabel II,,440358.523186498,4479915.05928987,-3.70352892984436,40.4677716829266,FALSE,
21216,mad-21216,obras,2020-05-25T09:49:00.0000000,2020-06-30T11:49:00.0000000,Cardenal Herrera Oria / Doctor Guiú. Trabajos de canalización. Reducción de carriles según fases entre calle Doctor Guiú y Gavilanes sentido El Pardo.,,437517.853416795,4480994.21383135,-3.73714110733164,40.47728425214,FALSE,
21227,mad-21227,obras,2020-05-26T00:00:00.0000000,2020-06-09T23:59:00.0000000,Calle General Zabala entre las calles Luis Vives y Lopez de Hoyos. Motivo: Renovación de aceras.,,442720.801635545,4477182.96844384,-3.67541894320054,40.4433259800645,FALSE,
21228,mad-21228,obras,2020-06-02T08:00:00.0000000,2020-06-15T19:00:00.0000000,Avenida de Luís Aragonés con San HIlario. Motivo: mantenimiento calzada para bicicletas.,,448673.166361423,4477461.42262274,-3.60525689414785,40.446223225896,FALSE,
21223,mad-21223,obras,2020-05-25T00:00:00.0000000,2020-06-26T23:59:00.0000000,Piritas. entre Indalecio Fernández y González Feito. Permiso entrada y salida desde  Indalecio Fernández. Motivo: Obra de mejora de pavimentación de aceras,,441134.717166927,4470237.49287693,-3.69347768684422,40.3806468988527,FALSE,
21229,mad-21229,obras,2020-05-29T00:00:00.0000000,2020-06-26T23:59:00.0000000,Joaquín Lorenzo. 60. entre Isla de Saipán e Inocencio Fernández. Motivo: Obras en la Red de Abastecimiento.,,438066.770930206,4480716.16878143,-3.73063853217174,40.4748206500414,FALSE,
21230,mad-21230,corte-de-trafico,2020-06-04T11:30:00.0000000,2020-06-04T14:00:00.0000000,Avda. de la Peseta / Luis Oro. Motivo: Reforma instalación de semáforos.,,436672.986851399,4468358.72387853,-3.74584955548465,40.3633949564956,FALSE,
21231,mad-21231,corte-de-trafico,2020-06-04T09:30:00.0000000,2020-06-04T11:00:00.0000000,Avda. de Portugal / Pta. Angel y Pº Extremadura / Pta. Angel. Motivo: Reforma instalación de semáforos.,,438095.680976083,4474021.80708028,-3.72964509162919,40.41451747931,FALSE,
21238,mad-21238,corte-de-trafico,2020-06-01T10:00:00.0000000,2020-06-05T13:30:00.0000000,Túnel de Atocha - Toledo - Mayor bajo Pl. Mayor. Previsión de corte total al tráfico en horario diurno de 10:00 h. a 13:30 h. Motivo: trabajos de mantenimiento.,,440000.624278976,4474117.02146033,-3.70720280291035,40.4155147217708,FALSE,
21239,mad-21239,corte-de-trafico,2020-06-03T23:00:00.0000000,2020-06-05T06:00:00.0000000,Túnel de Atocha - Toledo - Mayor bajo Pl. Mayor. Previsión de corte total al tráfico en horario nocturno de 23:00 a 06:00 h. Motivo: trabajos de mantenimiento.,,440000.18807396,4474114.62233274,-3.70720771772913,40.4154930778635,FALSE,
21240,mad-21240,corte-de-trafico,2020-06-04T00:30:00.0000000,2020-06-04T06:00:00.0000000,Túnel de Carretas - Concepción Jerónima bajo Pl. Jacinto Benavente. previsión de corte total al tráfico en horario nocturno de 00:30 a 06:00 horas. Motivo: trabajos de mantenimiento en calzada.,,440291.727469846,4473985.61056654,-3.70375952925074,40.4143518455087,FALSE,
21241,mad-21241,corte-de-trafico,2020-06-04T00:30:00.0000000,2020-06-04T06:00:00.0000000,Túnel de Doctor Cortezo - Cruz bajo pl. Jacinto Benavente. Previsión de corte total al tráfico en horario nocturno de 00:30 a 06:00 horas. Motivo: trabajos de mantenimiento en calzada.,,440299.942914167,4473937.17857921,-3.70365815875111,40.4139161364721,FALSE,
