idx,hasSimpleResult,hasResultTime,madeBySensor,observedProperty,validada,tipoMedicion,tipoEmisorPredominante,tipoIntervaloReferencia
259,65.3,2019-12-21T00:00:00,14,nivelRuido,false,LAeq,,N
260,72.6,2019-12-21T00:00:00,14,nivelRuido,false,LAS01,,N
261,66.6,2019-12-21T00:00:00,14,nivelRuido,false,LAS10,,N
262,63.7,2019-12-21T00:00:00,14,nivelRuido,false,LAS50,,N
263,58.8,2019-12-21T00:00:00,14,nivelRuido,false,LAS90,,N
264,55.0,2019-12-21T00:00:00,14,nivelRuido,false,LAS99,,N
265,63.1,2019-12-21T00:00:00,16,nivelRuido,false,LAeq,,T
266,69.5,2019-12-21T00:00:00,16,nivelRuido,false,LAS01,,T
267,66.4,2019-12-21T00:00:00,16,nivelRuido,false,LAS10,aeronaves,T
268,61.5,2019-12-21T00:00:00,16,nivelRuido,false,LAS50,,T
269,55.3,2019-12-21T00:00:00,16,nivelRuido,false,LAS90,,T
270,47.8,2019-12-21T00:00:00,16,nivelRuido,false,LAS99,,T
271,63.3,2019-12-21T00:00:00,16,nivelRuido,false,LAeq,,D
272,68.9,2019-12-21T00:00:00,16,nivelRuido,false,LAS01,,D
273,66.2,2019-12-21T00:00:00,16,nivelRuido,false,LAS10,,D
274,62.5,2019-12-21T00:00:00,16,nivelRuido,false,LAS50,,D
275,56.8,2019-12-21T00:00:00,16,nivelRuido,false,LAS90,,D
276,52.6,2019-12-21T00:00:00,16,nivelRuido,false,LAS99,,D
277,59.8,2019-12-21T00:00:00,16,nivelRuido,false,LAeq,,E
278,67.5,2019-12-21T00:00:00,16,nivelRuido,false,LAS01,,E
279,64.1,2019-12-21T00:00:00,16,nivelRuido,false,LAS10,,E
280,56.9,2019-12-21T00:00:00,16,nivelRuido,false,LAS50,,E
281,47.1,2019-12-21T00:00:00,16,nivelRuido,false,LAS90,,E
282,43.2,2019-12-21T00:00:00,16,nivelRuido,false,LAS99,,E
283,62.3,2019-12-21T00:00:00,16,nivelRuido,false,LAeq,,N
284,68.9,2019-12-21T00:00:00,16,nivelRuido,false,LAS01,,N
285,65.8,2019-12-21T00:00:00,16,nivelRuido,false,LAS10,,N
286,60.5,2019-12-21T00:00:00,16,nivelRuido,false,LAS50,,N
287,51.7,2019-12-21T00:00:00,16,nivelRuido,false,LAS90,,N
288,44.1,2019-12-21T00:00:00,16,nivelRuido,false,LAS99,,N
289,58.7,2019-12-21T00:00:00,17,nivelRuido,false,LAeq,,T
290,66.0,2019-12-21T00:00:00,17,nivelRuido,false,LAS01,,T
291,61.2,2019-12-21T00:00:00,17,nivelRuido,false,LAS10,,T
292,57.0,2019-12-21T00:00:00,17,nivelRuido,false,LAS50,,T
293,51.7,2019-12-21T00:00:00,17,nivelRuido,false,LAS90,,T
294,46.4,2019-12-21T00:00:00,17,nivelRuido,false,LAS99,,T
295,59.0,2019-12-21T00:00:00,17,nivelRuido,false,LAeq,,D
296,67.1,2019-12-21T00:00:00,17,nivelRuido,false,LAS01,,D
297,60.6,2019-12-21T00:00:00,17,nivelRuido,false,LAS10,,D
298,55.9,2019-12-21T00:00:00,17,nivelRuido,false,LAS50,,D
299,52.4,2019-12-21T00:00:00,17,nivelRuido,false,LAS90,,D
300,50.1,2019-12-21T00:00:00,17,nivelRuido,false,LAS99,,D
301,51.5,2019-12-21T00:00:00,17,nivelRuido,false,LAeq,,E
302,58.7,2019-12-21T00:00:00,17,nivelRuido,false,LAS01,,E
303,53.6,2019-12-21T00:00:00,17,nivelRuido,false,LAS10,,E
304,47.5,2019-12-21T00:00:00,17,nivelRuido,false,LAS50,,E
305,43.7,2019-12-21T00:00:00,17,nivelRuido,false,LAS90,,E
306,42.1,2019-12-21T00:00:00,17,nivelRuido,false,LAS99,,E
307,57.5,2019-12-21T00:00:00,17,nivelRuido,false,LAeq,,N
308,65.5,2019-12-21T00:00:00,17,nivelRuido,false,LAS01,,N
309,60.2,2019-12-21T00:00:00,17,nivelRuido,false,LAS10,,N
310,54.9,2019-12-21T00:00:00,17,nivelRuido,false,LAS50,,N
311,45.4,2019-12-21T00:00:00,17,nivelRuido,false,LAS90,,N
312,42.8,2019-12-21T00:00:00,17,nivelRuido,false,LAS99,,N
313,58.7,2019-12-21T00:00:00,18,nivelRuido,false,LAeq,,T
314,67.9,2019-12-21T00:00:00,18,nivelRuido,false,LAS01,actividades-deportivas-ocio,T
315,60.7,2019-12-21T00:00:00,18,nivelRuido,false,LAS10,,T
316,54.6,2019-12-21T00:00:00,18,nivelRuido,false,LAS50,,T
317,48.0,2019-12-21T00:00:00,18,nivelRuido,false,LAS90,,T
318,42.2,2019-12-21T00:00:00,18,nivelRuido,false,LAS99,,T
319,55.6,2019-12-21T00:00:00,18,nivelRuido,false,LAeq,,D
320,64.7,2019-12-21T00:00:00,18,nivelRuido,false,LAS01,actividades-comerciales,D
321,57.8,2019-12-21T00:00:00,18,nivelRuido,false,LAS10,,D
322,52.7,2019-12-21T00:00:00,18,nivelRuido,false,LAS50,,D
323,47.9,2019-12-21T00:00:00,18,nivelRuido,false,LAS90,,D
324,45.3,2019-12-21T00:00:00,18,nivelRuido,false,LAS99,,D
325,49.8,2019-12-21T00:00:00,18,nivelRuido,false,LAeq,,E
326,59.3,2019-12-21T00:00:00,18,nivelRuido,false,LAS01,,E
327,53.3,2019-12-21T00:00:00,18,nivelRuido,false,LAS10,,E
328,44.7,2019-12-21T00:00:00,18,nivelRuido,false,LAS50,,E
329,41.4,2019-12-21T00:00:00,18,nivelRuido,false,LAS90,,E
330,40.3,2019-12-21T00:00:00,18,nivelRuido,false,LAS99,,E
331,56.6,2019-12-21T00:00:00,18,nivelRuido,false,LAeq,,N
332,66.4,2019-12-21T00:00:00,18,nivelRuido,false,LAS01,,N
333,59.0,2019-12-21T00:00:00,18,nivelRuido,false,LAS10,,N
334,51.9,2019-12-21T00:00:00,18,nivelRuido,false,LAS50,,N
335,42.5,2019-12-21T00:00:00,18,nivelRuido,false,LAS90,,N
336,40.8,2019-12-21T00:00:00,18,nivelRuido,false,LAS99,,N
337,62.6,2019-12-21T00:00:00,19,nivelRuido,false,LAeq,,T
338,69.4,2019-12-21T00:00:00,19,nivelRuido,false,LAS01,,T
339,64.7,2019-12-21T00:00:00,19,nivelRuido,false,LAS10,,T
340,60.4,2019-12-21T00:00:00,19,nivelRuido,false,LAS50,,T
341,55.9,2019-12-21T00:00:00,19,nivelRuido,false,LAS90,,T
342,51.2,2019-12-21T00:00:00,19,nivelRuido,false,LAS99,,T
343,67.5,2019-12-21T00:00:00,19,nivelRuido,false,LAeq,,D
344,79.4,2019-12-21T00:00:00,19,nivelRuido,false,LAS01,actividades-comerciales,D
345,66.4,2019-12-21T00:00:00,19,nivelRuido,false,LAS10,,D
346,59.3,2019-12-21T00:00:00,19,nivelRuido,false,LAS50,,D
347,56.1,2019-12-21T00:00:00,19,nivelRuido,false,LAS90,,D
348,54.2,2019-12-21T00:00:00,19,nivelRuido,false,LAS99,,D
349,56.7,2019-12-21T00:00:00,19,nivelRuido,false,LAeq,,E
